,Mean Return,Volatility,Sharpe,Sortino,MaxDD,Calmar,CVaR_5pct,Final Wealth,Avg Turnover
Baseline RL,0.07849795673908362,0.159726351922226,0.4914527615131059,0.8968778155305869,-0.22027655924974288,0.3563609174125907,-0.2041137977396621,6.180525437883865,0.9728110633389117
Risk-Aware RL,0.03589529974897531,0.10414349198694062,0.34467155905557534,0.48873216685818666,-0.2092205989826287,0.17156675740032692,-0.1660890986518389,2.35662058241474,0.5611034939867785
Regime-Aware RL,0.04923887222832744,0.07002311638998893,0.7031802462688428,1.0668568590831373,-0.13461322496724157,0.3657803476585904,-0.10111891844484108,3.612188827809947,0.7740227248022951
Final RL: Regime + Risk,0.05453091779492305,0.07536183867544283,0.7235879425533275,0.8355579234774757,-0.17277956281407286,0.3156097683456223,-0.10625207126604988,4.1209777673979175,0.6471710558787583
Equal Weight,0.042885714285714284,0.06114870665350842,0.7013347727535685,0.8687476403060207,-0.12268749999996093,0.3495524343179084,-0.1061125,3.0892184637862408,
Markowitz,0.036295439978828524,0.052137368053504184,0.6961502149645419,0.9383278972078928,-0.11657768443659997,0.31134123270612934,-0.08633670655432671,2.6188334281798284,
Risk Parity,0.025771630077125737,0.019107927588794656,1.3487401998995483,11.159809303516736,-0.006114760114188729,4.214659216656827,-0.004763630057096411,2.0295049037168424,
HRP,0.018673109809799814,0.02013974745303986,0.9271769595131716,10.90199543853429,-0.003412499999997085,5.471973569038473,-0.001949145537919742,1.6699777288771678,
