Return,Value
0.09671394309208049,1.0967139430920805
-0.13711144146174567,0.9463419134835304
0.032046221852144854,0.9766685963910069
-0.07215356480343542,0.9061984755298281
0.2972151854907828,1.1755344235258904
-0.058156187742842806,1.1071698228931444
0.8832444691615828,2.085071445386123
0.13779433202298763,2.37238247242331
0.013378591190159472,2.4041216076685608
0.05047762346075911,2.5254759529343294
-0.11676687297580977,2.2305840231345844
-0.41964998320809743,1.2945194752819056
0.4353306166519345,1.858063436724316
0.26347286073262866,2.3476127258207713
-0.16542663626906673,1.9592550493257863
0.12968861619915226,2.2133481254540492
0.4598351447350687,3.2311233810713054
0.012899073204374847,3.2728018780961112
-0.023931892955622425,3.194477533884555
0.09005835975653458,3.482166940865297
0.12212503769193335,3.907426709768076
-0.07174347550767894,3.6270943373177795
0.11293760606809691,4.0367296887576
0.08730160660106544,4.389142676000357
-0.0037181992801733127,4.372822968861874
0.0029405376401280305,4.3856814193954285
0.04484573868125667,4.582360542268878
0.05878750735116817,4.851746096333213
