Year,Return,Value
1997,0.0681625,1.0681625
1998,0.046950000000000006,1.118312729375
1999,0.05952500000000001,1.1848802945910468
2000,-0.003412499999999999,1.180836890585755
2001,0.0442375,1.2330741625330421
2002,0.01925782514560071,1.2568204891466617
2003,0.08405293988974952,1.3624599461731117
2004,0.06319304374031516,1.4485579371460566
2005,0.05818634732939322,1.5328442324035865
2006,0.013693389831639386,1.5538340660290688
2007,-0.05094021676868135,1.4746814218829865
2008,-0.06916051952440125,1.3726916886125764
2009,0.08839788449996568,1.494034729956614
2010,0.10713552018502244,1.6540989179250052
2011,0.019575234343227506,1.6864782918702663
2012,0.03121059396171414,1.7391142810630746
2013,-0.10351289358425217,1.5590935295565393
2014,0.0698292680835605,1.6679638895992877
2015,-0.0018224366532243468,1.6649241310706273
2016,0.06508169519714668,1.7732802158953402
2017,0.0720903685140278,1.90111664013787
2018,-0.005784281015121314,1.8901200472487893
2019,0.08441188012794594,2.0496686341045813
2020,0.07858604353577996,2.2107439826182467
2021,0.06588812276999191,2.3564057535580187
2022,-0.0354729487958448,2.272817092919821
2023,0.06523199538074181,2.4210774870264378
2024,0.08168096321290161,2.6188334281798284
