Year,Return,Value
1997,0.10856387340664243,1.1085638734066425
1998,0.058447116418963274,1.1733562351734974
1999,-0.016266324277898186,1.1542700421586716
2000,0.05771347552757908,1.2208869779890137
2001,0.06864065597325843,1.3046894610273887
2002,0.09482187016004187,1.4284025557001028
2003,0.13580166197358348,1.622381996731491
2004,0.036578989527702326,1.6817270907998647
2005,0.06339266157451975,1.788336247127642
2006,0.033875722447040305,1.8489174294773196
2007,0.04968480144430055,1.9407805248478067
2008,-0.13461322496731085,1.6795257994442931
2009,0.22543817485462425,2.058155030292268
2010,0.11693920517157345,2.2988340436545216
2011,-0.06762461192237132,2.143376283578449
2012,0.04903664862472742,2.2484802732668596
2013,0.09592001649264428,2.4641545381620023
2014,0.05429742436737427,2.5979517828273755
2015,-0.019443818855946014,2.547437678965598
2016,0.08601880361594799,2.766565220396406
2017,0.06492559669746105,2.9461861181330855
2018,-0.013292187012817152,2.9070248612762946
2019,0.06596737166450108,3.0987936507380525
2020,0.08224963957652281,3.3536683116332746
2021,-0.05536661385235837,3.1679870532341843
2022,-0.004392071174349227,3.154073028616963
2023,0.037154625858222295,3.271261431924736
2024,0.10421893907898906,3.612188827809947
