Year,Return,Value
1997,0.0681625,1.0681625
1998,0.046950000000000006,1.118312729375
1999,0.05952500000000001,1.1848802945910468
2000,-0.003412499999999999,1.180836890585755
2001,0.0442375,1.2330741625330421
2002,0.024670031143993347,1.2634941405255857
2003,0.040216818837835,1.3143078554777692
2004,0.04629846706708972,1.3751582944406238
2005,0.04180412969167549,1.432645590128003
2006,0.024790947387677568,1.4681622315780547
2007,0.014033369804621035,1.4887654951069673
2008,-0.006114760114192824,1.4796620512381007
2009,0.021738433709863485,1.5118275866519406
2010,0.034060417036750494,1.5633210647409697
2011,0.01289399376836406,1.5834785168076921
2012,0.021572567495247684,1.6176382139888006
2013,0.012452215255509127,1.6377813932349263
2014,0.017049958303367675,1.6657054976996133
2015,-0.001519821670031742,1.6631739223883184
2016,0.013481478004600487,1.6855959650408214
2017,0.019600450880054146,1.7186344059572216
2018,0.0037102184564053427,1.7250109150500172
2019,0.02289334326116108,1.7645021820575069
2020,0.0453129865229523,1.8444570456527984
2021,0.019925856447095214,1.8812094319673094
2022,0.0017116622781613404,1.8844294271893294
2023,0.03892065648233004,1.9577726575901593
2024,0.03663972210899053,2.0295049037168424
