Year,S&P 500,Small Cap,T-Bill,10Y Treasury,Baa Corporate,Real Estate,Gold,Inflation,Cash,Portfolio_Return,Portfolio_Value,Portfolio_Drawdown,Bull,Bear,Crisis,Dominant_Regime,Decision_Mode,Decision_Explanation
1997,0.00012676367066292022,0.00013147916922876852,0.00015768063140816465,0.004145826585890745,0.9950947563133832,0.00017368509218909954,5.615406893232326e-06,3.465594791697226e-06,0.00016072753455697545,0.10857615677067514,1.1085761567706751,0.0,0.0,5.088942043685146e-122,1.0,Crisis,Risk-on / Invested,"In 1997, the dominant regime is Crisis (Bull: 0.0%, Bear: 0.0%, Crisis: 100.0%). The RL policy selected Risk-on / Invested behaviour. Cash allocation is 0.02%, realised portfolio return is 10.86%, and drawdown is 0.00%."
1998,0.0008643552382446129,0.0031514032687714544,0.006313493830328293,0.0011212849611179957,0.9723123702583227,0.005630203929941864,0.0018669243022147186,6.246501050302468e-05,0.008677499199583036,0.057887736820310086,1.1727491215790868,0.0,1.0,1.2319900748977136e-237,5.5188339056532365e-21,Bull,Risk-on / Invested,"In 1998, the dominant regime is Bull (Bull: 100.0%, Bear: 0.0%, Crisis: 0.0%). The RL policy selected Risk-on / Invested behaviour. Cash allocation is 0.87%, realised portfolio return is 5.79%, and drawdown is 0.00%."
1999,0.0009537613573750494,0.0015391170136114954,0.007613717110124561,0.0009804051032466495,0.9807923584420976,0.0015411042509661324,0.001093051492249074,8.521778240891053e-06,0.005477963451107962,-0.016169897156568618,1.1537858888926968,-0.016169897156568597,1.0,0.0,1.7475627706898567e-20,Bull,Risk-on / Invested,"In 1999, the dominant regime is Bull (Bull: 100.0%, Bear: 0.0%, Crisis: 0.0%). The RL policy selected Risk-on / Invested behaviour. Cash allocation is 0.55%, realised portfolio return is -1.62%, and drawdown is -1.62%."
2000,0.0004044912408121452,0.00014341105511525332,0.0011213289376421059,0.004232657429905572,0.9926938206036745,0.0009654899469210662,4.9681426547070926e-05,6.011295334880616e-05,0.00032900640504078657,0.05813240569118653,1.2208582382665734,0.0,1.0,6.627875e-317,1.494173280678891e-19,Bull,Risk-on / Invested,"In 2000, the dominant regime is Bull (Bull: 100.0%, Bear: 0.0%, Crisis: 0.0%). The RL policy selected Risk-on / Invested behaviour. Cash allocation is 0.03%, realised portfolio return is 5.81%, and drawdown is 0.00%."
2001,0.0005567504281043666,0.0011272026326855826,0.0014165924637565594,0.003021834595134723,0.9927131273065715,0.00028838423806069115,7.27557491710334e-05,4.668435110015112e-06,0.0007986841504126046,0.06872419316230274,1.3047607356569941,0.0,1.0,5.093653843878976e-295,1.0597032435331672e-20,Bull,Risk-on / Invested,"In 2001, the dominant regime is Bull (Bull: 100.0%, Bear: 0.0%, Crisis: 0.0%). The RL policy selected Risk-on / Invested behaviour. Cash allocation is 0.08%, realised portfolio return is 6.87%, and drawdown is 0.00%."
2002,0.004000134369144505,0.012201004082623658,0.007597783494208644,0.000487058524165,0.9567158283084225,0.002593305719777121,0.0022416382479110014,2.704039351594909e-05,0.014136206859274981,0.09030339102027768,1.422585054556933,0.0,0.9978775960519677,8.565030827300345e-273,0.002122403948034684,Bull,Risk-on / Invested,"In 2002, the dominant regime is Bull (Bull: 99.8%, Bear: 0.0%, Crisis: 0.2%). The RL policy selected Risk-on / Invested behaviour. Cash allocation is 1.41%, realised portfolio return is 9.03%, and drawdown is 0.00%."
2003,0.03915216934041455,0.02010851896900755,0.05593206362040092,0.0013818052843939494,0.11467752517573791,0.061669113962033076,0.5599806209599696,0.0011530236209938449,0.1459451590664885,0.14301733374457648,1.6260393760845482,0.0,0.9999999841620594,1.030273606138199e-251,1.5837920765362623e-08,Bull,Balanced,"In 2003, the dominant regime is Bull (Bull: 100.0%, Bear: 0.0%, Crisis: 0.0%). The RL policy selected Balanced behaviour. Cash allocation is 14.59%, realised portfolio return is 14.30%, and drawdown is 0.00%."
2004,0.01508075735897996,0.03353066849985439,0.07814310413320502,0.0007613695818435127,0.08254177798483463,0.12973952927856755,0.41038376422466616,0.07818660277657037,0.17163242616106783,0.031115646894944983,1.6766346431480716,0.0,0.9999999998187832,2.0006454860733437e-260,1.8126483696442324e-10,Bull,Balanced,"In 2004, the dominant regime is Bull (Bull: 100.0%, Bear: 0.0%, Crisis: 0.0%). The RL policy selected Balanced behaviour. Cash allocation is 17.16%, realised portfolio return is 3.11%, and drawdown is 0.00%."
2005,0.027930041273580616,0.053046792036933604,0.10150661977184113,0.004088141540744038,0.05681017475137846,0.18395356423141832,0.276624567947334,0.17127366001848826,0.12476643842800494,0.06360315341724376,1.7832738935808843,0.0,0.9999999980041139,2.832465930090436e-261,1.9958940365129213e-09,Bull,Balanced,"In 2005, the dominant regime is Bull (Bull: 100.0%, Bear: 0.0%, Crisis: 0.0%). The RL policy selected Balanced behaviour. Cash allocation is 12.48%, realised portfolio return is 6.36%, and drawdown is 0.00%."
2006,0.003580536126515956,0.002684706756665491,0.014465791207891533,0.0033814471499468367,0.00022079489503460748,0.032069169576917106,0.06912898875780671,0.8654414386302357,0.009027126898120514,0.036820910023689125,1.8489356611640198,0.0,1.0,1.836981343135814e-230,3.53336696132509e-15,Bull,Risk-on / Invested,"In 2006, the dominant regime is Bull (Bull: 100.0%, Bear: 0.0%, Crisis: 0.0%). The RL policy selected Risk-on / Invested behaviour. Cash allocation is 0.90%, realised portfolio return is 3.68%, and drawdown is 0.00%."
