Year,Return,Value
1997,0.10857615677067514,1.1085761567706751
1998,0.057887736820310086,1.1727491215790868
1999,-0.016169897156568618,1.1537858888926968
2000,0.05813240569118653,1.2208582382665734
2001,0.06872419316230274,1.3047607356569941
2002,0.09030339102027768,1.422585054556933
2003,0.14301733374457648,1.6260393760845482
2004,0.031115646894944983,1.6766346431480716
2005,0.06360315341724376,1.7832738935808843
2006,0.036820910023689125,1.8489356611640198
2007,0.05728625454995697,1.9548542600959549
2008,-0.1727795628141613,1.617095395671175
2009,0.278042480608778,2.066716610864622
2010,0.08674973980155576,2.246003739100681
2011,0.03258727207500664,2.3191948740282373
2012,0.08503410777427793,2.5164055408959074
2013,0.06974665338877369,2.6919164059423637
2014,0.08294760521973246,2.915204425266992
2015,-0.021334882766274623,2.8530088806141958
2016,0.0869293261773629,3.10101902018402
2017,0.06791885133984979,3.3116366700179456
2018,-0.03972457971793847,3.1800832951229694
2019,0.11208027429675568,3.5365079031268825
2020,0.08969472908406492,3.8537140214015024
2021,-0.03711454150462265,3.71068519240725
2022,0.044695374221143905,3.8765356556987496
2023,0.02940918350532513,3.9905414041621303
2024,0.03268638262962057,4.1209777673979175
