Year,Return,Value
1997,0.09904031985615745,1.0990403198561574
1998,0.021060582486921782,1.122186749168941
1999,0.026782576097760784,1.1522418011744568
2000,0.03736433201172181,1.1952945463913236
2001,0.03328008840066265,1.2350740545600567
2002,0.02973150351709642,1.2717946631570836
2003,0.0634728155510525,1.352519051230466
2004,0.03320243652855656,1.397425979182609
2005,0.03397209439104551,1.4448994664518997
2006,0.025356541362336348,1.4815371195374052
2007,0.031495343363601325,1.5281986398231566
2008,-0.20922059898276568,1.208468005034708
2009,0.39620494603430156,1.6872690057536646
2010,0.24848166366933805,2.106524415361045
2011,-0.12295759832091212,1.8475112324438874
2012,0.031033346457205957,1.904845688603898
2013,0.07421392282660537,2.0462117595345397
2014,0.07276616822177696,2.1951067486462086
2015,0.007108850152646335,2.2107114335913973
2016,0.024060288414456135,2.263901788284742
2017,0.023001099360742308,2.3159740182600417
2018,0.018688581783156813,2.359256288107961
2019,0.023798480914745998,2.4154030038534926
2020,0.015041558970720932,2.451734430574011
2021,0.07003061466298366,2.6234308997375093
2022,-0.0918159455437656,2.382558111109378
2023,0.022980603195699147,2.4373107336514774
2024,-0.0331062224125403,2.35662058241474
