,Mean Return,Volatility,Sharpe,Sortino,MaxDD,Calmar,CVaR_5pct,Final Wealth,Avg Turnover
Baseline RL,0.07849795673908362,0.159726351922226,0.4914527615131059,0.8968778155305869,-0.22027655924974288,0.3563609174125907,-0.2041137977396621,6.180525437883865,0.9728110633389117
Risk-Aware RL,0.03589529974897531,0.10414349198694062,0.34467155905557534,0.48873216685818666,-0.2092205989826287,0.17156675740032692,-0.1660890986518389,2.35662058241474,0.5611034939867785
Regime-Aware RL,0.04923887222832744,0.07002311638998893,0.7031802462688428,1.0668568590831373,-0.13461322496724157,0.3657803476585904,-0.10111891844484108,3.612188827809947,0.7740227248022951
Final RL: Regime + Risk,0.05453091779492305,0.07536183867544283,0.7235879425533275,0.8355579234774757,-0.17277956281407286,0.3156097683456223,-0.10625207126604988,4.1209777673979175,0.6471710558787583
