Year,Return,Value
1997,0.3085128048218171,1.308512804821817
1998,0.2628300297254307,1.652429264209242
1999,0.13964159979351734,1.8831771302090454
2000,-0.035809746399680084,1.8157410347505822
2001,0.011811961107270173,1.8371884972339307
2002,-0.05392607075823584,1.7381161403358767
2003,0.3477636058695103,2.342569676719077
2004,0.019222892922883424,2.3876006427790415
2005,0.03525876449662852,2.4717844915547866
2006,0.025459951333772105,2.5347160044173442
2007,0.06944497240657188,2.7107392874026033
2008,-0.18859228335247946,2.199514775618073
2009,0.43556673918559496,3.157550254224573
2010,0.2633656746600544,3.989140607201454
2011,-0.16471173219966867,3.332082347801264
2012,0.10708655645381857,3.6889035722478565
2013,0.32688355584021617,4.894745489095912
2014,0.013370400267469737,4.960190195492516
2015,-0.04053363761089967,4.759135643627285
2016,0.13551599248443552,5.40407463374149
2017,0.08475730417515626,5.862109431258764
2018,0.011639110499653521,5.930339170690246
2019,0.02748806275219119,6.093352705955957
2020,0.13520852165482808,6.9172259172497075
2021,-0.000821727498559223,6.911541842499757
2022,-0.21963531212684473,5.393523192644575
2023,0.0850324144685968,5.852147492207518
2024,0.056112383721292375,6.180525437883865
