Year,Return,Value
1997,0.0681625,1.0681625
1998,0.046950000000000006,1.118312729375
1999,0.05952500000000001,1.1848802945910468
2000,-0.003412499999999999,1.180836890585755
2001,0.0442375,1.2330741625330421
2002,0.029599999999999994,1.2695731577440204
2003,0.1870125,1.506999207906624
2004,0.05245,1.586041316361326
2005,0.03745,1.6454385636590576
2006,0.06791249999999999,1.7571844101135534
2007,0.021562499999999995,1.7950736989566267
2008,-0.08953749999999999,1.6343472876362977
2009,0.1065875,1.8085482791572316
2010,0.0951375,1.9806090410655528
2011,0.008187499999999999,1.996825277589277
2012,0.05985,2.116335270452995
2013,0.05776250000000001,2.238580086512536
2014,0.0456125,2.3406873207085894
2015,-0.023925000000000002,2.2846863765606367
2016,0.052425,2.404461059851828
2017,0.06892499999999999,2.570188538402115
2018,-0.036387499999999996,2.476665802961008
2019,0.09720000000000001,2.717397719008818
2020,0.1251625,3.057514011014259
2021,0.023487499999999998,3.129327371347957
2022,-0.1226875,2.745398019475704
2023,0.057874999999999996,2.90428792985286
2024,0.063675,3.0892184637862408
