Year,Return,Value
1997,0.0681625,1.0681625
1998,0.046950000000000006,1.118312729375
1999,0.05952500000000001,1.1848802945910468
2000,-0.003412499999999999,1.180836890585755
2001,0.0442375,1.2330741625330421
2002,0.010148022332186219,1.245587426671669
2003,0.011852334668162668,1.2603505457110373
2004,0.04044677768297856,1.3113276640360325
2005,0.03953699099259792,1.3631736140773698
2006,0.02121664235173186,1.3920955811105673
2007,-0.00048579107583948504,1.3914193135005481
2008,0.0011557158052880275,1.3930273987929436
2009,0.009294706318900232,1.4059751793589055
2010,0.006742469509417734,1.4154549241367311
2011,-0.0004073949669408921,1.4148782749247062
2012,0.005000323987405483,1.4219531247020711
2013,0.004807192366045593,1.4287887269080135
2014,0.004190891864387223,1.4347766259595405
2015,0.0002100101166589408,1.4350779435661376
2016,0.0032428098494896983,1.4397316284563193
2017,0.005636661810210292,1.447846908743391
2018,0.007844162822282253,1.4592040556373123
2019,0.006347331001948628,1.4684661067778282
2020,0.02821413652726079,1.509897610000113
2021,0.005391462794973899,1.5180381667886484
2022,0.04201764579917886,1.5818225567904085
2023,0.03015261856351892,1.62951864898048
2024,0.02482885355255142,1.6699777288771678
