S&P 500,Small Cap,T-Bill,10Y Treasury,Baa Corporate,Real Estate,Gold,Inflation,Cash
0.00012676367066292022,0.00013147916922876852,0.00015768063140816465,0.004145826585890745,0.9950947563133832,0.00017368509218909954,5.615406893232326e-06,3.465594791697226e-06,0.00016072753455697545
0.0008643552382446129,0.0031514032687714544,0.006313493830328293,0.0011212849611179957,0.9723123702583227,0.005630203929941864,0.0018669243022147186,6.246501050302468e-05,0.008677499199583036
0.0009537613573750494,0.0015391170136114954,0.007613717110124561,0.0009804051032466495,0.9807923584420976,0.0015411042509661324,0.001093051492249074,8.521778240891053e-06,0.005477963451107962
0.0004044912408121452,0.00014341105511525332,0.0011213289376421059,0.004232657429905572,0.9926938206036745,0.0009654899469210662,4.9681426547070926e-05,6.011295334880616e-05,0.00032900640504078657
0.0005567504281043666,0.0011272026326855826,0.0014165924637565594,0.003021834595134723,0.9927131273065715,0.00028838423806069115,7.27557491710334e-05,4.668435110015112e-06,0.0007986841504126046
0.004000134369144505,0.012201004082623658,0.007597783494208644,0.000487058524165,0.9567158283084225,0.002593305719777121,0.0022416382479110014,2.704039351594909e-05,0.014136206859274981
0.03915216934041455,0.02010851896900755,0.05593206362040092,0.0013818052843939494,0.11467752517573791,0.061669113962033076,0.5599806209599696,0.0011530236209938449,0.1459451590664885
0.01508075735897996,0.03353066849985439,0.07814310413320502,0.0007613695818435127,0.08254177798483463,0.12973952927856755,0.41038376422466616,0.07818660277657037,0.17163242616106783
0.027930041273580616,0.053046792036933604,0.10150661977184113,0.004088141540744038,0.05681017475137846,0.18395356423141832,0.276624567947334,0.17127366001848826,0.12476643842800494
0.003580536126515956,0.002684706756665491,0.014465791207891533,0.0033814471499468367,0.00022079489503460748,0.032069169576917106,0.06912898875780671,0.8654414386302357,0.009027126898120514
0.13128783524503226,0.03042352878876938,0.1252602456521003,0.0020040361172097886,0.05318430648401281,0.18002886277416874,0.2716895649117647,0.05538931961112008,0.15073230041555027
0.3659430760037545,0.053400759910351106,0.06363469458379452,0.01692119467332197,0.35235000963968227,0.05987469212952222,0.023346591401113958,0.0051883674887802395,0.059340614169313306
0.4140868025032031,0.4233371539325131,0.029830501320116897,0.05025039321544263,0.029694533644295907,0.009491279044237706,0.01406859651644195,0.0007396834418239367,0.0285010563815014
0.04185118266717158,0.06515585448561644,0.008469144657636214,0.012198698590727725,0.817495495556488,0.021082292139182404,0.002662198201273788,0.0024083192764709762,0.028676814424615178
0.0682000482281729,0.1545454765553828,0.01380424887008282,0.013953427512688115,0.6588335504272742,0.04042171752031675,0.006442002878381008,0.0031305402283970975,0.04066898777864543
0.08807182397138313,0.2110557543478547,0.03361282292569182,0.009040852992106566,0.4312362755526867,0.09590279736242147,0.03355766033433562,0.004719450611540722,0.09280256190154802
0.10596653559043279,0.18057836153551463,0.04122305511352566,0.000854219535279853,0.019362253474715433,0.2392542126253757,0.2463184052615667,0.023907775160258136,0.14253518170308485
0.10967082942170696,0.10801542519633155,0.021158967734869236,0.06450623955220555,0.6022363067777262,0.051587759296863156,0.0037305853634379983,0.012826953750358472,0.026266932905898727
0.005080774806001523,0.004219093536149147,0.0111352222727136,0.001655185112787799,0.9488651930552481,0.013170628117955805,0.003922778625398015,0.00010290628260075713,0.011848218190196332
0.007162265795743002,0.003969022163991918,0.0035489986840227528,0.04979683357427719,0.9321679610369066,0.0018445851944571166,0.00011539792019214052,0.00016545082117445283,0.001229484808302762
0.005006401854351389,0.004693588102106786,0.01636450394476577,0.0007226470876071293,0.938405410496882,0.010013415476310464,0.006077697461839812,8.607423843422396e-05,0.01863026133676412
0.008229318761251419,0.004643608380489244,0.07185889212234652,0.005013458021452616,0.7560603226776879,0.048431937651398096,0.045336716388527334,0.005491021470654861,0.05493472452543623
0.015632370917076893,0.0026605196926067515,0.0416937393415044,0.18227264098996226,0.7411351793493376,0.006813705810278706,0.0018880776817216062,0.003532710492591991,0.0043710557241784555
0.001089624787043478,0.0014635733222365386,0.013106053934151925,0.0012961614130555356,0.9595642279920965,0.00626777195095265,0.004267626788676403,0.0002339448199709075,0.012711014990856265
0.003507875528209761,0.005409642752309967,0.04432131119932695,0.0009423950533671839,0.6313557719113498,0.09772471974323683,0.10684000823065531,0.005622015778894705,0.1042762598020181
0.00627247066927578,0.0036851667224334387,0.0027542443303272186,0.005759295384777105,0.0084983860481275,0.14548830087919443,0.011730230837528556,0.8072311068696664,0.008580798257862272
0.039019237201111265,0.009248897787375115,0.004219931303330502,0.38907095164689676,0.003451125859713169,0.017269582642468168,0.0011672591015318816,0.5355001302556784,0.0010528842013591208
0.10218123725951497,0.15119604782790286,0.0049822664456020994,0.2568013621963581,0.01080445766633562,0.034752528486525026,0.0031673172861188966,0.428676599869641,0.007438182961572646
